p_id,name,price,colour,brand,ratingcount,avg_rating,brand_id,occasion,pattern,print or pattern type,fabric,wash care,sustainable,body or garment size,length
18838276,Styli Women Pink Skinny Fit High-Rise Trousers,1299.0,Pink,Styli,0.0,0.0,848,Casual,Solid,Solid,Polyester,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
18838300,Styli Women Black Straight Fit High-Rise Trousers,1749.0,Black,Styli,0.0,0.0,848,Casual,Solid,Solid,Polyester,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
18841082,Styli Green Tie-Up Neck Top,999.0,Green,Styli,0.0,0.0,848,Party,Self Design,Solid,Polyester,Machine Wash,Regular,Garment Measurements in,Regular
18840960,Styli Off White Tie-Up Neck Top,899.0,Off White,Styli,0.0,0.0,848,Casual,Self Design,Self Design,Cotton Blend,Machine Wash,Regular,Garment Measurements in,Regular
18838296,Styli Women Green High-Rise Trousers,1949.0,Green,Styli,0.0,0.0,848,Casual,Solid,Solid,Polyester,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
18841540,Styli Women Brown & Beige Colourblocked Accordion Pleat Midi Skirts,2149.0,Brown,Styli,0.0,0.0,848,Casual,Colourblocked,Colourblocked,Polyester,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Midi
18841008,Styli Blue Print Top,799.0,Blue,Styli,0.0,0.0,848,Party,Printed,Ethnic Motifs,Polyester,Machine Wash,Regular,Garment Measurements in,Regular
18841600,Styli Women Pink Self Design A-Line Skirts,2149.0,Pink,Styli,0.0,0.0,848,Casual,Self Design,Self Design,Polyester,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Midi
18841126,Styli Pink Tie-Up Neck Top,999.0,Pink,Styli,0.0,0.0,848,Party,Self Design,Self Design,Polyester,Machine Wash,Regular,Garment Measurements in,Regular
18839836,Styli Green Styled Back Crop Top,1149.0,Green,Styli,0.0,0.0,848,Party,Solid,Solid,Polyester,Machine Wash,Regular,Garment Measurements in,Crop
18839830,Styli White Print Shirt Style Top,1699.0,White,Styli,0.0,0.0,848,Party,Printed,Horizontal Stripes,Polyester,Machine Wash,Regular,Garment Measurements in,Regular
18840060,Styli Black Geometric Top,1449.0,Black,Styli,0.0,0.0,848,Party,Self Design,Geometric,Polyester,Machine Wash,Regular,Garment Measurements in,Regular
18839586,Styli Women White Solid Tiered Top,999.0,White,Styli,0.0,0.0,848,Casual,Solid,Solid,Polyester,Machine Wash,Regular,Garment Measurements in,Regular
18839764,Styli Green Geometric Print Tie-Up Neck Top,1699.0,Green,Styli,0.0,0.0,848,Party,Printed,Geometric,Polyester,Machine Wash,Regular,Garment Measurements in,Regular
18888562,Styli Pink Solid Top,1599.0,Pink,Styli,0.0,0.0,848,Party,Solid,Solid,Polyester,Machine Wash,Regular,Garment Measurements in,Regular
18839798,Styli Black Top,949.0,Black,Styli,0.0,0.0,848,Party,Solid,Solid,Polyester,Machine Wash,Regular,Garment Measurements in,Regular
18839616,Styli Burgundy Shirt Style Top,1249.0,Burgundy,Styli,0.0,0.0,848,Party,Solid,Solid,Polyester,Machine Wash,Regular,Garment Measurements in,Regular
18839692,Styli White Extended Sleeves Top,1799.0,White,Styli,0.0,0.0,848,Party,Self Design,Abstract,Polyester,Machine Wash,Regular,Garment Measurements in,Regular
18839872,Styli Cream-Coloured Top,1449.0,Cream,Styli,0.0,0.0,848,Party,Solid,Solid,Polyester,Machine Wash,Regular,Garment Measurements in,Regular
18839804,Styli White Off-Shoulder Top,1599.0,White,Styli,0.0,0.0,848,Party,Solid,Solid,Polyester,Machine Wash,Regular,Garment Measurements in,Regular
18839800,Styli Lavender Print Top,999.0,Lavender,Styli,0.0,0.0,848,Casual,Printed,Typography,Polyester,Machine Wash,Regular,Garment Measurements in,Regular
18839356,Styli Black Halter Neck Tank Top,799.0,Black,Styli,0.0,0.0,848,Casual,Solid,Solid,Polyester,Machine Wash,Regular,Garment Measurements in,Regular
18839946,Styli Women White Solid Top,1799.0,White,Styli,0.0,0.0,848,Casual,Self Design,Self Design,Polyester,Machine Wash,Regular,Garment Measurements in,Regular
18839282,Styli Pink Print Top,1499.0,Pink,Styli,0.0,0.0,848,Casual,Printed,Polka Dots,Polyester,Machine Wash,Regular,Garment Measurements in,Regular
18839592,Styli Women Pink Solid Boat Neck Top,1349.0,Pink,Styli,0.0,0.0,848,Party,Solid,Solid,Polyester,Machine Wash,Regular,Garment Measurements in,Regular
18839240,Styli Green One Shoulder Top,1199.0,Green,Styli,0.0,0.0,848,Party,Solid,Solid,Polyester,Machine Wash,Regular,Garment Measurements in,Regular
18839322,Styli Purple Off-Shoulder Bardot Top,1499.0,Purple,Styli,0.0,0.0,848,Casual,Solid,Solid,Polyester,Machine Wash,Regular,Garment Measurements in,Regular
18840036,Styli White Wrap Crop Top,1599.0,White,Styli,0.0,0.0,848,Casual,Solid,Solid,Polyester,Machine Wash,Regular,Garment Measurements in,Crop
18841450,Styli Beige Basic Jumpsuit,1899.0,Beige,Styli,0.0,0.0,848,Casual,Solid,Solid,Polyester,Machine Wash,Regular,Garment Measurements in,Regular
18888496,Styli Women Beige Solid Long Sleeves Top,949.0,Beige,Styli,0.0,0.0,848,Casual,Solid,Solid,Polyester,Machine Wash,Regular,Garment Measurements in,Regular
18840966,Styli Beige Solid gathered or Pleated Cinched Waist Top,849.0,Beige,Styli,0.0,0.0,848,Party,Solid,Solid,Polyester,Machine Wash,Regular,Garment Measurements in,Regular
18888638,Styli Women Black Solid Top,999.0,Black,Styli,0.0,0.0,848,Casual,Solid,Solid,Polyester,Machine Wash,Regular,Garment Measurements in,Regular
18839926,Styli White Off-Shoulder Bardot Top,1599.0,White,Styli,0.0,0.0,848,Casual,Solid,Solid,Cotton Blend,Machine Wash,Regular,Garment Measurements in,Regular
18839884,Styli Black Print Wrap Top,1749.0,Black,Styli,0.0,0.0,848,Party,Printed,Polka Dots,Polyester,Machine Wash,Regular,Garment Measurements in,Regular
18841584,Styli Women Blue High-Rise Heavy Fade Jeans,1949.0,Blue,Styli,8.0,4.0,848,Casual,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Cropped
18841408,Styli Women Blue Super Skinny Fit High-Rise Jeans,799.0,Blue,Styli,4.0,4.0,848,Casual,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Cropped
8317561,Chemistry Blue Denim A-Line Skirt,1699.0,Blue,Chemistry,900.0,4.314444443999999,171,Casual,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Midi
8506567,Chemistry Blue Denim A-Line Pure Cotton Skirt,1699.0,Blue,Chemistry,897.0,4.132664437,171,Casual,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Knee Length
13186664,Chemistry Women Blue Solid Culotte Chambray Jumpsuit,2399.0,Blue,Chemistry,236.0,4.18220339,171,Casual,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
13526690,Chemistry Women Blue Regular Fit Mid-Rise Clean Look Stretchable Cropped Jeans,1999.0,Blue,Chemistry,392.0,3.941326531,171,Casual,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Cropped
5709433,Chemistry Women Brown Solid Parka,5999.0,Brown,Chemistry,409.0,4.4303178480000005,171,Casual,Solid,Solid,Wool,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Longline
5865436,Chemistry Women Blue Denim Knee Length A-Line Pure Cotton Skirt,1799.0,Blue,Chemistry,304.0,4.3059210530000005,171,Casual,Solid,Solid,Pure Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Knee Length
15689220,Chemistry Women Black Skinny Fit  Mid Rise Stretchable Jeans,1999.0,Black,Chemistry,13.0,3.615384615,171,Casual,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
17037494,Chemistry Women Olive Green Solid Shorts with Belt,1299.0,Olive,Chemistry,0.0,0.0,171,Casual,Solid,Solid,Viscose Rayon,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Above Knee
11773472,Chemistry Women Charcoal Grey Self Design Single-Breasted Casual Blazer,3999.0,Charcoal,Chemistry,39.0,4.205128205,171,Casual,Self Design,Solid,Polyester,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
14231672,Chemistry Women Maroon & Black Striped Pullover,2199.0,Maroon,Chemistry,50.0,4.38,171,Casual,Striped,Striped,Acrylic,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
17046802,Chemistry Women Black Pleated Trousers,1899.0,Black,Chemistry,0.0,0.0,171,Casual,Solid,Solid,Polyester,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
13526722,Chemistry Women Blue Regular Fit Mid-Rise Clean Look Stretchable Jeans,1999.0,Blue,Chemistry,197.0,4.040609137,171,Casual,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
14431804,Chemistry Women Blue Pure Cotton Denim Jacket,3499.0,Blue,Chemistry,14.0,4.714285714,171,Casual,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
14393210,Chemistry Black Self Designed Extended Shoulder Boxy Top,1499.0,Black,Chemistry,69.0,4.2028985510000005,171,Casual,Self Design,Solid,Polyester,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
16898664,Chemistry Black Solid Regular Top,1399.0,Black,Chemistry,15.0,4.066666667,171,Casual,Solid,Solid,Polyester,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
14393508,Chemistry Inca Gold Kimono Sleeved High Neck Regular Top,1499.0,Gold,Chemistry,42.0,4.380952381,171,Casual,Solid,Solid,Polyester,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
16295592,Chemistry Women Navy Blue Longline Solid Full Length Cover Up Tie-Up Shrug,1899.0,Navy Blue,Chemistry,5.0,4.2,171,Casual,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Longline
17037520,Chemistry Women Brown Solid A-Line Skirt,1899.0,Brown,Chemistry,0.0,0.0,171,Casual,Solid,Solid,Polyester,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Knee Length
18920508,Chemistry Women Blue Mom Fit Cuffed Jeans,2299.0,Blue,Chemistry,0.0,0.0,171,Casual,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Cropped
17139254,Chemistry Women Navy Blue Solid Stretchable Jeans,2099.0,Navy Blue,Chemistry,5.0,4.4,171,Casual,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
17011486,Chemistry Women Navy Blue Solid Belted Wide Leg Palazzos,1899.0,Navy Blue,Chemistry,10.0,3.7,171,Western,Solid,Solid,Viscose Rayon,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
17037430,Chemistry Women Mustard Yellow High-Rise Pleated Trousers with Belt,1999.0,Mustard,Chemistry,0.0,0.0,171,Casual,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
17037532,Chemistry Women Navy Blue High-Rise Pleated Trousers with Belt,1999.0,Navy Blue,Chemistry,0.0,0.0,171,Casual,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
14231612,Chemistry Women Maroon & Blue Colourblocked Sweater Dress,2499.0,Maroon,Chemistry,30.0,4.166666667,171,Casual,Solid,Solid,Acrylic,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Longline
19183530,Chemistry Teal Floral Print Denim Top,1699.0,Teal,Chemistry,0.0,0.0,171,Casual,Printed,Floral,Pure Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
17139194,Chemistry Women Brown Straight Fit High-Rise Jeans,2799.0,Brown,Chemistry,0.0,0.0,171,Casual,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
17011456,Chemistry Navy Blue Solid Culotte Jumpsuit with Belt,1999.0,Navy Blue,Chemistry,27.0,4.148148148,171,Casual,Solid,Solid,Viscose Rayon,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
16045618,Chemistry Women Olive Green French Terry Lounge Set,2499.0,Olive,Chemistry,10.0,4.3,171,Casual,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
16045626,Chemistry Women Grey & Black Textured Knit Airport Look Co-ords set with Snood,3099.0,Grey,Chemistry,10.0,4.2,171,Casual,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
17836268,Chemistry Women Navy Blue Solid Trousers With Lace Detail,1299.0,Navy Blue,Chemistry,0.0,0.0,171,Casual,Solid,Solid,Viscose Rayon,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Cropped
