p_id,name,price,colour,brand,ratingcount,avg_rating,description,brand_id,occasion,pattern,print or pattern type,fabric,wash care,sustainable,body or garment size,length
11973126,Mast & Harbour Women Coffee Brown Solid Quilted Jacket,4299.0,Coffee Brown,Mast & Harbour,60.0,4.166666667,"Coffee brown solid quilted jacket, has a mock collar, 2 pockets, zip closure, long sleeves, straight hem, and attached&nbsp; liningThe model (height 5'8"") is wearing a size SMaterial: 100% polyesterMachine Wash",554,Casual,Solid,Solid,Polyester,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
11711830,Mast & Harbour Women Dusty Pink Solid Boxy Sustainable Top,1299.0,Pink,Mast & Harbour,408.0,4.24754902,"Sustainable dusty Pink solid woven boxy top with tie-up detail, has a V-neck, mock button placket, and short sleevesLoose Fit The model (height 5'8"") is wearing a size SMaterial: Recycled Poly Crepe  Machine Wash",554,Casual,Solid,Solid,Polyester,Machine Wash,Sustainable,To-Fit Denotes Body Measurements in,Regular
13879780,Mast & Harbour Rust Brown & White Floral Printed Wrap Top,1599.0,Rust,Mast & Harbour,77.0,4.155844156000001,Rust Brown and white regular wrap topFloral printedV-neckThree-quarter puff sleevesWaist tie-ups detailWovenHook and eyePolycotton Machine washThe model (height 5'8) is wearing a size S,554,Casual,Printed,Floral,Polycotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
15939028,Mast & Harbour Women Blue Skinny Fit Stretchable Jeans,1799.0,Blue,Mast & Harbour,72.0,4.305555556,"Medium shade,  no fade blue jeans   Skinny fit,  mid-rise   Clean look   Stretchable   5 pocket   Length: regular  99% Cotton ,1% ElastaneMachine wash Fit: Skinny Fit  Stretchable  The model (height 5'8) is wearing a size 28",554,Casual,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
14363322,Mast & Harbour Women Blue Ribbed Pullover,1699.0,Blue,Mast & Harbour,30.0,3.933333333,"Blue ribbed pullover ,has a round neck,  long sleeves,  ribbed hemThe model (height 5'8) is wearing a size S80% Viscose rayon, 20% NylonMachine wash",554,Casual,Ribbed,Ribbed,Viscose Rayon,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
14363362,Mast & Harbour Women Grey Melange & Peach-Coloured Striped Pullover,1699.0,Grey Melange,Mast & Harbour,28.0,4.535714286,"Grey melange striped pullover, has a round neck, long sleeves, ribbed hem100% AcrylicHand washThe model (height 5'8) is wearing a size S",554,Casual,Striped,Striped,Acrylic,Hand Wash,Regular,To-Fit Denotes Body Measurements in,Regular
14363618,Mast & Harbour Women Red & White Embroidered Printed Pullover,1999.0,Red,Mast & Harbour,19.0,3.789473684,"Red and white printed pullover has a round neck, long sleeves, ribbed hemAcrylic  Machine washThe model (height 5'8) is wearing a size S",554,Casual,Printed,Embroidered,Acrylic,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
17819906,Mast & Harbour Beige & Pink Square Neck Checked Top,1299.0,Beige,Mast & Harbour,0.0,0.0,"Beige and pink regular top   Checked   Square neck,  short,  puff sleeve sleeves   Gathered or pleated detail   Woven  Size worn by the model: SChest: 30""Height: 5'9""100% Viscose rayonMachine wash",554,Casual,Checked,Checked,Viscose Rayon,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
13879826,Mast & Harbour Blue Accordion Pleated Bell Sleeves Top,1499.0,Blue,Mast & Harbour,82.0,3.7682926830000003,Blue regular topSolidRound neckLong bell sleevesAccordion pleats detailWovenAn attached liningThe model (height 5'8) is wearing a size S100% PolyesterMachine wash,554,Casual,Solid,Solid,Polyester,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
18318476,Mast & Harbour Women Navy Blue & Red Floral Print Top,1299.0,Navy Blue,Mast & Harbour,18.0,4.222222222,"Navy blue and red regular topFloral printRound neck, three-quarter, bell sleevesWovenButton closureSize worn by the model: SChest: 32""Height: 5'5""100% Viscose rayonMachine wash",554,Casual,Printed,Floral,Viscose Rayon,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
13879660,Mast & Harbour Peach-Coloured & White Floral Printed Playsuit,2399.0,Peach,Mast & Harbour,29.0,3.75862069,"Peach-coloured and&nbsp;white floral printed playsuit with ruffled detail, has cold-shoulder sleeves with shoulder straps, overlapping detailing with pom-pom trimsThe model (height 5'8) is wearing a size SViscose rayon  Machine wash",554,Casual,Printed,Solid,Viscose Rayon,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
17197772,Mast & Harbour Women Olive Green Solid Trousers,2299.0,Olive,Mast & Harbour,0.0,0.0,"Olive green woven trousersRegular fitMid-riseTie-up detailLength: regularPattern: solidFlat-front, with no pleats designFeature: plain2 pockets100% ViscoseMachine wash Fit: Regular Fit  The model (height 5'8) is wearing a size 28",554,Casual,Solid,Solid,Viscose Rayon,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
18361830,Mast & Harbour Women Blue Slim Fit High-Rise Stretchable Casual Jeans,1999.0,Blue,Mast & Harbour,0.0,0.0,"Coloured shade,  no fade blue jeans   Slim fit,  high-rise   Clean look   Stretchable   5 pocket   Length: regular  80% Cotton , 19% Polyester, 1% ElastaneMachine wash Fit: Slim Fit  Stretchable  The model (height 5'8) is wearing a size 28",554,Casual,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
